domain,item_id,item_name,sub_type,base_price,current_price,competitor_price,price_ratio,total_capacity,inventory_remaining,inventory_ratio,occupancy_rate,days_remaining,is_weekend,season,season_multiplier,special_event,event_multiplier,customer_segment,price_sensitivity,purchase_frequency,conversion_rate,booking_velocity,demand_score,units_booked
flight,FLT-01,JetExpress 9W-110,HYD -> MAA,3600.0,4550.0,4990.0,1.097,140,6,0.043,0.96,1,0,Standard,1.0,Normal Day,1.0,Corporate Traveler,0.28,3.8,0.66,6.5,83.1,6
flight,FLT-02,Vistara Line UK-992,DEL -> BLR,6800.0,8380.0,12650.0,1.51,160,27,0.169,0.83,3,1,Vacation Peak,1.3,Weekend,1.15,Corporate Traveler,0.2,8.2,0.777,8.5,100.0,12
flight,FLT-03,Vistara Line UK-821,MAA -> DEL,6400.0,8480.0,18940.0,2.233,160,4,0.025,0.974,1,0,Festival Surge,1.45,Major Event,1.55,Corporate Traveler,0.23,0.7,0.775,4.5,100.0,4
flight,FLT-04,JetExpress 9W-110,HYD -> MAA,3600.0,4190.0,4260.0,1.017,140,27,0.193,0.805,11,1,Low Traffic,0.85,Weekend,1.15,Student Traveler,1.49,0.7,0.432,4.5,57.98,5
flight,FLT-05,Vistara Line UK-821,MAA -> DEL,6400.0,8340.0,6900.0,0.827,160,20,0.125,0.876,3,0,Low Traffic,0.85,Normal Day,1.0,Corporate Traveler,0.43,4.6,0.527,6.5,64.34,8
flight,FLT-06,Vistara Line UK-821,MAA -> DEL,6400.0,8420.0,18140.0,2.154,160,6,0.037,0.962,1,0,Festival Surge,1.45,Major Event,1.55,Corporate Traveler,0.22,4.1,0.776,2.5,100.0,5
flight,FLT-07,JetExpress 9W-110,HYD -> MAA,3600.0,3710.0,9680.0,2.609,140,42,0.3,0.697,1,1,Festival Surge,1.45,Major Event,1.55,Corporate Traveler,0.26,4.4,0.774,13.5,100.0,16
flight,FLT-08,SkyWings 6E-204,DEL -> BOM,5500.0,6470.0,14080.0,2.176,180,51,0.283,0.718,1,1,Festival Surge,1.45,Festival,1.5,Leisure Flyer,1.12,1.2,0.731,8.5,100.0,14
flight,FLT-01,Vistara Line UK-821,MAA -> DEL,6400.0,7880.0,11750.0,1.491,160,4,0.025,0.978,1,0,Low Traffic,0.85,Festival,1.5,Student Traveler,1.47,0.6,0.625,2.5,86.74,3
flight,FLT-02,AeroIndia AI-303,DEL -> DXB,14500.0,17080.0,17680.0,1.035,220,63,0.286,0.714,4,0,Standard,1.0,Normal Day,1.0,Corporate Traveler,0.15,8.6,0.649,5.5,80.55,8
flight,FLT-03,SkyWings 6E-204,DEL -> BOM,5500.0,6900.0,8840.0,1.281,180,35,0.194,0.804,2,1,Standard,1.0,Weekend,1.15,Leisure Flyer,1.09,1.3,0.607,7.5,81.3,11
flight,FLT-04,Vistara Line UK-992,DEL -> BLR,6800.0,5950.0,5870.0,0.987,160,124,0.775,0.224,44,0,Standard,1.0,Normal Day,1.0,Corporate Traveler,0.22,14.7,0.414,3.5,45.68,4
