domain,item_id,item_name,sub_type,base_price,current_price,competitor_price,price_ratio,total_capacity,inventory_remaining,inventory_ratio,occupancy_rate,days_remaining,is_weekend,season,season_multiplier,special_event,event_multiplier,customer_segment,price_sensitivity,purchase_frequency,conversion_rate,booking_velocity,demand_score,units_booked
hotel,HTL-01,Mountain Bliss Lodge,Alpine Chalet,7500.0,8040.0,10340.0,1.286,25,12,0.48,0.535,19,0,Peak,1.35,Normal Day,1.0,Business,0.4,1.6,0.582,2.5,73.02,7
hotel,HTL-02,Grand Palace Hotel,Deluxe,5000.0,4710.0,4910.0,1.042,50,30,0.6,0.402,2,0,Regular,1.0,Normal Day,1.0,Business,0.47,2.8,0.462,2.5,54.5,4
hotel,HTL-03,Mountain Bliss Lodge,Alpine Chalet,7500.0,6700.0,6130.0,0.915,25,21,0.84,0.179,22,0,Regular,1.0,Normal Day,1.0,Business,0.43,1.9,0.378,1.5,40.58,1
hotel,HTL-04,Urban Hub Suites,Penthouse,12000.0,12710.0,10370.0,0.816,10,4,0.4,0.565,5,0,Low,0.8,Normal Day,1.0,Budget,1.48,2.7,0.355,1.5,46.95,0
hotel,HTL-05,Mountain Bliss Lodge,Alpine Chalet,7500.0,7110.0,11380.0,1.601,25,8,0.32,0.667,23,1,Regular,1.0,Holiday,1.3,Business,0.46,1.6,0.685,5.5,90.1,8
hotel,HTL-06,Urban Hub Suites,Studio Room,3200.0,3350.0,2930.0,0.875,80,38,0.475,0.52,8,1,Low,0.8,Weekend,1.15,Budget,1.54,5.8,0.445,6.5,62.0,7
hotel,HTL-07,Mountain Bliss Lodge,Alpine Chalet,7500.0,7950.0,10610.0,1.335,25,9,0.36,0.647,2,0,Peak,1.35,Normal Day,1.0,Business,0.41,3.9,0.559,3.5,69.3,5
hotel,HTL-08,Grand Palace Hotel,Deluxe,5000.0,5410.0,4740.0,0.876,50,12,0.24,0.759,4,0,Low,0.8,Normal Day,1.0,Leisure,0.88,1.1,0.429,3.5,53.1,3
hotel,HTL-01,Urban Hub Suites,Penthouse,12000.0,12800.0,13590.0,1.062,10,3,0.3,0.69,13,0,Regular,1.0,Normal Day,1.0,Budget,1.48,2.5,0.376,0.5,50.32,0
hotel,HTL-02,City Central Inn,Economy Twin,2400.0,2560.0,2470.0,0.965,100,29,0.29,0.711,7,1,Low,0.8,Weekend,1.15,Leisure,0.86,2.1,0.527,4.5,68.52,8
hotel,HTL-03,Sea Breeze Resort,Ocean View,6500.0,6960.0,10860.0,1.56,40,17,0.425,0.569,27,1,Peak,1.35,Weekend,1.15,Budget,1.51,0.6,0.515,4.5,72.93,6
hotel,HTL-04,Mountain Bliss Lodge,Alpine Chalet,7500.0,7750.0,11240.0,1.45,25,11,0.44,0.549,10,0,Peak,1.35,Normal Day,1.0,Leisure,0.93,2.5,0.517,5.5,67.67,6
hotel,HTL-05,Sea Breeze Resort,Standard Room,3800.0,3700.0,3570.0,0.965,60,29,0.483,0.521,7,1,Low,0.8,Weekend,1.15,Leisure,0.89,0.5,0.519,5.5,67.52,7
hotel,HTL-06,Grand Palace Hotel,Deluxe,5000.0,5340.0,4820.0,0.903,50,14,0.28,0.711,10,1,Low,0.8,Weekend,1.15,Budget,1.5,0.5,0.373,2.5,50.14,3
hotel,HTL-07,Sea Breeze Resort,Ocean View,6500.0,6940.0,7390.0,1.065,40,21,0.525,0.485,5,0,Regular,1.0,Normal Day,1.0,Budget,1.6,0.4,0.403,2.5,55.82,5
hotel,HTL-08,Sea Breeze Resort,Standard Room,3800.0,3920.0,5090.0,1.298,60,30,0.5,0.498,7,0,Peak,1.35,Normal Day,1.0,Leisure,0.94,0.5,0.489,2.5,63.24,2
hotel,HTL-01,Urban Hub Suites,Studio Room,3200.0,3480.0,3670.0,1.055,80,38,0.475,0.529,17,1,Regular,1.0,Weekend,1.15,Business,0.39,1.9,0.506,0.5,60.68,1
hotel,HTL-02,Grand Palace Hotel,Deluxe,5000.0,5280.0,4940.0,0.936,50,18,0.36,0.636,1,0,Regular,1.0,Normal Day,1.0,Leisure,0.85,1.2,0.524,7.5,68.07,11
hotel,HTL-03,Grand Palace Hotel,Deluxe,5000.0,5560.0,14660.0,2.637,50,9,0.18,0.827,3,1,Holiday,1.6,Festival,1.45,Business,0.42,3.5,0.75,4.5,100.0,9
hotel,HTL-04,Grand Palace Hotel,Deluxe,5000.0,5370.0,7030.0,1.309,50,20,0.4,0.602,3,0,Peak,1.35,Normal Day,1.0,Leisure,0.89,1.1,0.573,7.5,76.28,10
hotel,HTL-05,Grand Palace Hotel,Deluxe,5000.0,4580.0,4530.0,0.989,50,39,0.78,0.219,23,1,Low,0.8,Weekend,1.15,Leisure,0.95,0.2,0.386,3.5,46.81,5
hotel,HTL-06,Urban Hub Suites,Penthouse,12000.0,11990.0,13250.0,1.105,10,7,0.7,0.329,21,0,Peak,1.35,Normal Day,1.0,Budget,1.5,0.2,0.389,5.5,52.66,6
hotel,HTL-07,Grand Palace Hotel,Executive Suite,9000.0,8380.0,14210.0,1.696,20,12,0.6,0.42,21,1,Peak,1.35,Weekend,1.15,Budget,1.5,0.7,0.545,6.5,77.63,5
hotel,HTL-08,Urban Hub Suites,Penthouse,12000.0,12880.0,13030.0,1.012,10,3,0.3,0.666,1,1,Regular,1.0,Weekend,1.15,Leisure,0.85,5.5,0.575,3.5,76.23,3
hotel,HTL-01,Urban Hub Suites,Penthouse,12000.0,14030.0,12680.0,0.904,10,2,0.2,0.827,7,1,Low,0.8,Weekend,1.15,Budget,1.55,1.3,0.493,6.5,69.78,2
hotel,HTL-02,Urban Hub Suites,Studio Room,3200.0,3290.0,4900.0,1.489,80,51,0.637,0.358,18,0,Holiday,1.6,Normal Day,1.0,Leisure,0.88,0.9,0.565,6.5,74.89,8
hotel,HTL-03,Urban Hub Suites,Penthouse,12000.0,12820.0,19600.0,1.529,10,5,0.5,0.498,19,0,Holiday,1.6,Normal Day,1.0,Business,0.48,7.4,0.696,7.5,92.0,5
hotel,HTL-04,Grand Palace Hotel,Executive Suite,9000.0,10160.0,14650.0,1.442,20,4,0.2,0.807,2,1,Peak,1.35,Weekend,1.15,Budget,1.49,1.6,0.622,3.5,89.82,4
hotel,HTL-05,Urban Hub Suites,Studio Room,3200.0,3290.0,5150.0,1.565,80,31,0.388,0.611,4,0,Holiday,1.6,Normal Day,1.0,Business,0.39,2.8,0.729,4.5,96.31,10
