domain,item_id,item_name,sub_type,base_price,current_price,competitor_price,price_ratio,total_capacity,inventory_remaining,inventory_ratio,occupancy_rate,days_remaining,is_weekend,season,season_multiplier,special_event,event_multiplier,customer_segment,price_sensitivity,purchase_frequency,conversion_rate,booking_velocity,demand_score,units_booked
product,PRD-01,Smart Fitness Tracker Band,Wearables,2800.0,2820.0,2950.0,1.046,200,133,0.665,0.335,17,0,Regular,1.0,Weekend,1.1,Impulse Buyer,0.47,3.6,0.489,1.5,56.6,2
product,PRD-02,Noise-Cancelling Headphones Pro,Electronics,4500.0,4540.0,5600.0,1.233,150,25,0.167,0.833,10,1,Regular,1.0,Flash Deal,1.35,Bargain Hunter,1.55,0.4,0.545,8.5,75.17,6
product,PRD-03,Organic Fairtrade Coffee 1kg,Grocery,1200.0,1250.0,1200.0,0.96,300,166,0.553,0.447,28,0,Summer Off-peak,0.85,Normal Day,1.0,Prime Member,0.67,5.1,0.404,1.5,43.74,0
product,PRD-04,Hydro Stainless Thermal Flask,Home & Kitchen,1100.0,1120.0,1120.0,1.0,250,74,0.296,0.704,37,0,Regular,1.0,Normal Day,1.0,Prime Member,0.72,8.7,0.455,2.5,52.85,3
product,PRD-05,Ergonomic Mesh Office Chair,Furniture,8900.0,9080.0,11430.0,1.259,60,50,0.833,0.167,6,1,Festive Sale,1.4,Festival,1.4,Impulse Buyer,0.39,0.1,0.624,5.5,78.75,5
product,PRD-06,Premium Running Shoes,Apparel,3900.0,3960.0,5900.0,1.49,110,99,0.9,0.1,24,0,Festive Sale,1.4,Major Event,1.5,Prime Member,0.74,4.4,0.605,4.5,78.46,8
product,PRD-07,Smart Fitness Tracker Band,Wearables,2800.0,2760.0,3010.0,1.091,200,144,0.72,0.28,44,0,Regular,1.0,Normal Day,1.0,Impulse Buyer,0.32,2.8,0.455,2.5,49.39,5
product,PRD-08,Ergonomic Mesh Office Chair,Furniture,8900.0,8720.0,13410.0,1.538,60,19,0.317,0.683,26,0,Festive Sale,1.4,Festival,1.4,Prime Member,0.73,8.3,0.699,8.5,94.45,12
product,PRD-01,Noise-Cancelling Headphones Pro,Electronics,4500.0,4680.0,6530.0,1.395,150,142,0.947,0.053,29,0,Year End,1.3,Major Event,1.5,Impulse Buyer,0.42,0.2,0.607,11.5,76.17,14
product,PRD-02,Pro Gaming Mechanical Keyboard,Gaming,5200.0,5610.0,5800.0,1.034,80,40,0.5,0.5,24,0,Summer Off-peak,0.85,Weekend,1.1,Impulse Buyer,0.33,3.8,0.479,0.5,53.63,0
product,PRD-03,Smart Fitness Tracker Band,Wearables,2800.0,2950.0,4190.0,1.42,200,97,0.485,0.515,7,0,Year End,1.3,Major Event,1.5,Prime Member,0.73,3.1,0.552,3.5,69.51,2
product,PRD-04,Pro Gaming Mechanical Keyboard,Gaming,5200.0,5090.0,5410.0,1.063,80,33,0.412,0.588,20,0,Summer Off-peak,0.85,Normal Day,1.0,Prime Member,0.67,1.6,0.415,2.5,45.62,2
product,PRD-05,Ergonomic Mesh Office Chair,Furniture,8900.0,9300.0,10000.0,1.075,60,39,0.65,0.35,26,0,Regular,1.0,Weekend,1.1,Loyal Customer,0.52,3.5,0.395,0.5,41.0,0
product,PRD-06,Noise-Cancelling Headphones Pro,Electronics,4500.0,4600.0,4450.0,0.967,150,36,0.24,0.76,28,0,Regular,1.0,Normal Day,1.0,Bargain Hunter,1.62,2.7,0.391,3.5,49.69,2
product,PRD-07,Ergonomic Mesh Office Chair,Furniture,8900.0,9100.0,12400.0,1.363,60,48,0.8,0.2,32,1,Regular,1.0,Festival,1.4,Impulse Buyer,0.47,0.8,0.614,8.5,77.8,10
product,PRD-08,Ultra HD 4K Monitor 27-inch,Electronics,18500.0,18800.0,20470.0,1.089,45,14,0.311,0.689,32,0,Regular,1.0,Weekend,1.1,Prime Member,0.64,6.1,0.473,3.5,55.32,2
product,PRD-01,Ergonomic Mesh Office Chair,Furniture,8900.0,8920.0,11720.0,1.314,60,43,0.717,0.283,27,1,Festive Sale,1.4,Flash Deal,1.35,Prime Member,0.72,9.9,0.635,4.5,83.46,5
