domain,item_id,item_name,sub_type,base_price,current_price,competitor_price,price_ratio,total_capacity,inventory_remaining,inventory_ratio,occupancy_rate,days_remaining,is_weekend,season,season_multiplier,special_event,event_multiplier,customer_segment,price_sensitivity,purchase_frequency,conversion_rate,booking_velocity,demand_score,units_booked
travel_package,PKG-01,Kerala Backwaters & Tea Hills 5D4N,Nature/Wellness,19500.0,20000.0,19600.0,0.98,35,16,0.457,0.543,23,0,Autumn Regular,1.0,Normal Day,1.0,Corporate Retreat,0.4,2.4,0.412,0.3,43.78,1
travel_package,PKG-02,Dubai Extravaganza & Safari 5D4N,International Tour,45000.0,48000.0,98200.0,2.046,15,2,0.133,0.852,8,1,Winter Peak,1.5,Festival,1.45,Honeymooners,0.3,0.1,0.792,3.3,100.0,2
travel_package,PKG-03,Rajasthan Royal Palaces Safari 4D3N,Heritage/Luxury,24000.0,24800.0,32700.0,1.319,22,9,0.409,0.586,17,1,Autumn Regular,1.0,Holiday,1.35,Corporate Retreat,0.45,0.7,0.56,0.3,66.4,0
travel_package,PKG-04,Kerala Backwaters & Tea Hills 5D4N,Nature/Wellness,19500.0,21700.0,37900.0,1.747,35,8,0.229,0.775,4,0,Spring Festive,1.25,Festival,1.45,Corporate Retreat,0.35,2.3,0.746,2.3,93.59,3
travel_package,PKG-05,Rajasthan Royal Palaces Safari 4D3N,Heritage/Luxury,24000.0,25100.0,25700.0,1.024,22,8,0.364,0.645,43,1,Monsoon (Low),0.75,Holiday,1.35,Honeymooners,0.4,1.1,0.497,1.3,56.54,1
travel_package,PKG-06,Andaman Island Reef Explorer 5D4N,Island/Diving,32000.0,32700.0,66200.0,2.024,18,3,0.167,0.829,28,1,Spring Festive,1.25,Festival,1.45,Family Group,0.91,2.0,0.761,5.3,100.0,3
travel_package,PKG-07,Andaman Island Reef Explorer 5D4N,Island/Diving,32000.0,34500.0,77300.0,2.241,18,4,0.222,0.796,20,0,Winter Peak,1.5,Festival,1.45,Solo Backpacker,1.3,1.7,0.742,5.3,100.0,4
travel_package,PKG-08,Himachal Adventure & Treks 6D5N,Adventure/Sports,17800.0,19400.0,28500.0,1.469,25,6,0.24,0.761,27,1,Autumn Regular,1.0,Festival,1.45,Family Group,0.8,2.5,0.63,4.3,79.44,5
travel_package,PKG-01,Kerala Backwaters & Tea Hills 5D4N,Nature/Wellness,19500.0,20600.0,20500.0,0.995,35,4,0.114,0.878,15,1,Monsoon (Low),0.75,Holiday,1.35,Family Group,0.87,0.9,0.602,6.3,75.83,4
travel_package,PKG-02,Goa Beach & Nightlife Getaway 4D3N,Coastal/Leisure,16500.0,17500.0,19300.0,1.103,30,9,0.3,0.714,10,0,Autumn Regular,1.0,Normal Day,1.0,Corporate Retreat,0.33,0.7,0.489,2.3,54.83,3
travel_package,PKG-03,Himachal Adventure & Treks 6D5N,Adventure/Sports,17800.0,20000.0,36300.0,1.815,25,1,0.04,0.95,4,0,Spring Festive,1.25,Festival,1.45,Family Group,0.89,1.5,0.678,0.3,87.38,1
travel_package,PKG-04,Rajasthan Royal Palaces Safari 4D3N,Heritage/Luxury,24000.0,25500.0,50500.0,1.98,22,3,0.136,0.874,6,0,Spring Festive,1.25,Major Event,1.5,Family Group,0.91,2.2,0.761,7.3,100.0,3
travel_package,PKG-05,Golden Triangle Heritage 5D4N,Cultural/Heritage,21000.0,21900.0,22600.0,1.032,25,9,0.36,0.644,11,0,Autumn Regular,1.0,Normal Day,1.0,Family Group,0.83,0.7,0.346,0.3,37.12,1
travel_package,PKG-06,Goa Beach & Nightlife Getaway 4D3N,Coastal/Leisure,16500.0,17600.0,23200.0,1.318,30,13,0.433,0.567,58,1,Autumn Regular,1.0,Festival,1.45,Family Group,0.92,4.1,0.632,5.3,80.71,5
travel_package,PKG-07,Kashmir Paradise Valley Tour 6D5N,Hills/Scenic,28000.0,29200.0,63400.0,2.171,20,4,0.2,0.804,22,1,Spring Festive,1.25,Festival,1.45,Honeymooners,0.29,0.0,0.792,1.3,100.0,2
travel_package,PKG-08,Dubai Extravaganza & Safari 5D4N,International Tour,45000.0,45400.0,62800.0,1.383,15,4,0.267,0.738,21,1,Autumn Regular,1.0,Holiday,1.35,Honeymooners,0.29,1.6,0.656,0.3,79.63,0
